Agency,Population,Murder,Manslaughter,Rape,Fondling,Aggravated Assault,Aggravated Stalking,Simple Assault,"Threat/
Intimidation",Stalking,Total,,,
Volusia County Beach Patrol,0,0,0,0,0,1,0,2,0,0,3,,,
Volusia DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT - Volusia,0,0,0,0,0,0,0,0,0,0,0,,,
Volusia-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Deland,0,0,0,0,0,0,0,0,0,0,0,,,

Wakulla County,"31,283",1,0,2,1,19,0,51,3,0,77,,,

Wakulla County Sheriffs Office,"31,283",1,0,2,1,19,0,51,3,0,77,,,
Wakulla DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Wakulla,0,0,0,0,0,0,0,0,0,0,0,,,
Wakulla-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Wakulla Co,0,0,0,0,0,0,0,0,0,0,0,,,

Walton County,"60,687",1,0,4,1,111,0,359,8,0,484,,,

Walton County Sheriffs Office,"55,258",0,0,4,1,78,0,319,8,0,410,,,
Defuniak Springs Police Department,"5,429",1,0,0,0,33,0,40,0,0,74,,,
Walton DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Walton,0,0,0,0,0,0,0,0,0,0,0,,,
Walton-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Walton Co,0,0,0,0,0,0,0,0,0,0,0,,,

Washington County,"24,975",0,0,0,0,13,0,142,3,0,158,,,

Washington County Sheriffs Office,"21,463",0,0,0,0,11,0,105,2,0,118,,,
Chipley Police Department,"3,512",0,0,0,0,2,0,37,1,0,40,,,
Washington DOC Inspector General,0,0,0,0,0,0,0,0,0,0,0,,,
DABT Washington,0,0,0,0,0,0,0,0,0,0,0,,,
Washington-Florida Game Comm,0,0,0,0,0,0,0,0,0,0,0,,,
FHP - Washington Co,0,0,0,0,0,0,0,0,0,0,0,,,

Florida,"19,815,183 ",184 ,15 ,"1,517 ",756 ,"17,354 ",153 ,"85,608 ","1,641 ",438 ,"107,666 ",,,


"The following agencies did not report to UCR in 2015: Altha Police Department, Gilchrist County Sheriff's Office, Cottondale Police Department, Sneads Police Department, Liberty County Sheriff's Office, Dunnellon Police Department, Shalimar Police Department, Eatonville Police Department, and Coleman Police Department."

"*** Note: On January 1, 2013, the Federal Bureau of Investigation’s (FBI) UCR Program implemented a new definition of Rape that includes incidents previously reported as Forcible Sodomy.  Therefore, beginning with the 2013 data, FDLE’s UCR modified the collection of Forcible Rape data to include forcible rape, attempted rape, and forcible sodomy. Florida has adopted a “Forcible Sex Offense” category that is not used at the Federal level.  Florida’s Forcible Sex Offenses (FSO) include forcible rape, attempted rape, forcible sodomy, and forcible fondling.  Users of this site will note that various reports will use either a Forcible Rape or a FSO category in Index Offenses.  Through the 2012 data, when Forcible Rape is presented, it includes rape and attempted rape only, while forcible sodomy and forcible fondling are included in aggravated assault to comply with Federal UCR reporting guidelines.  "

"SOURCE: Florida Department of Law Enforcement. Crime in Florida, Florida uniform crime report, 2015 [Computer program]. Tallahassee, FL:  FDLE. Florida Statistical Analysis Center."
